symbol,signal_ts,mkt_snap_ts,entry_ts,lat_dec_s,lat_mkt_s,ma2_slots_occupied_at_entry,cross_strategy_holding_symbol_at_signal,n_real_competitors_same_slot,replay_first_fire_ts,replay_first_fire_delta_min,replay_pattern_persistence_bars_5m
AIGENSYNUSDT,2026-07-23T18:01:12.622000,2026-07-23T18:01:08.185000,2026-07-23T18:01:13.304000,0.7,5.1,2,,0,2026-07-23T17:05:00,-56.2,11
EWTUSDT,2026-07-23T21:20:37.913000,2026-07-23T21:20:33.885000,2026-07-23T21:20:38.926000,1.0,5.0,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
SAPIENUSDT,2026-07-24T00:45:49.961000,2026-07-24T00:45:45.428000,2026-07-24T00:45:50.665000,0.7,5.2,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
MVLLUSDT,2026-07-24T05:16:03.114000,2026-07-24T05:15:58.850000,2026-07-24T05:16:03.704000,0.6,4.9,2,,1,2026-07-24T05:05:00,-11.1,8
FHEUSDT,2026-07-24T14:51:39.662000,2026-07-24T14:51:37.783000,2026-07-24T14:51:40.470000,0.8,2.7,2,,5,2026-07-24T13:15:00,-96.7,9
ZKCUSDT,2026-07-24T21:48:21.474000,2026-07-24T21:48:17.577000,2026-07-24T21:48:22.323000,0.8,4.7,2,,0,2026-07-24T21:05:00,-43.4,46
NATGASUSDT,2026-07-25T01:00:59.977000,2026-07-25T01:00:55.266000,2026-07-25T01:01:01.014000,1.0,5.7,2,,0,2026-07-24T22:05:00,-176.0,69
USUSDT,2026-07-25T17:16:57.570000,2026-07-25T17:16:55.531000,2026-07-25T17:17:00.051000,2.5,4.5,2,,0,2026-07-25T10:20:00,-417.0,20
APRUSDT,2026-07-27T21:24:21.087000,2026-07-27T21:24:17.233000,2026-07-27T21:24:23.224000,2.1,6.0,0,,1,2026-07-27T21:05:00,-19.4,12
HOLOUSDT,2026-07-27T22:24:01.649000,2026-07-27T22:23:58.442000,2026-07-27T22:24:02.687000,1.0,4.2,1,,4,2026-07-27T19:05:00,-199.0,33
DOGEUSDT,2026-07-27T23:51:36.988000,2026-07-27T23:51:32.324000,2026-07-27T23:51:37.669000,0.7,5.3,0,,0,2026-07-27T23:05:00,-46.6,22
PNUTUSDT,2026-07-28T00:10:59.817000,2026-07-28T00:10:55.172000,2026-07-28T00:11:01.296000,1.5,6.1,1,,0,2026-07-27T23:45:00,-26.0,15
