Symbol,OpenedAt,Name
SAHARAUSDT,2026-07-20 00:14:49.982367+00,LSE Counter-Trend 
SKHYNIXUSDT,2026-07-20 00:14:55.057056+00,MA Clone
SKHYNIXUSDT,2026-07-20 00:15:01.209451+00,Scalping Clone
SKHYUSDT,2026-07-20 00:19:05.61652+00,MA Clone
ONDOUSDT,2026-07-20 00:25:59.245075+00,FVG - 15m
MRVLUSDT,2026-07-20 00:26:05.320507+00,LSE Counter-Trend 
MUUSDT,2026-07-20 00:29:14.900784+00,FVG - 1m
SOXLUSDT,2026-07-20 00:34:04.469555+00,FVG - 1m
STXXUSDT,2026-07-20 00:45:16.237086+00,FVG - 1m
METUSDT,2026-07-20 00:53:58.769193+00,FVG - 1m
TOSHIUSDT,2026-07-20 01:00:51.169032+00,MA Slope Caso 1
ORDIUSDT,2026-07-20 01:11:28.533022+00,FVG - 15m
TRIAUSDT,2026-07-20 01:17:14.332044+00,FVG - 15m
JUPUSDT,2026-07-20 01:47:23.407753+00,FVG - 1m
USELESSUSDT,2026-07-20 01:55:18.292989+00,FVG - 15m
WETUSDT,2026-07-20 02:01:14.383781+00,FVG - 15m
KGENUSDT,2026-07-20 02:20:56.298041+00,FVG - 15m
DOODUSDT,2026-07-20 02:27:08.236425+00,FVG - 15m
EDGEUSDT,2026-07-20 02:31:21.884192+00,FVG - 15m
SIRENUSDT,2026-07-20 03:09:03.987735+00,FVG - 1m
USUSDT,2026-07-20 03:20:41.64417+00,FVG - 15m
VIRTUALUSDT,2026-07-20 03:28:56.939163+00,Arrow Reversal
VIRTUALUSDT,2026-07-20 03:29:00.280998+00,
BSVUSDT,2026-07-20 03:29:05.573065+00,Compresion ADN - Micro (5m)
BULLAUSDT,2026-07-20 03:33:43.608137+00,FVG - 1m
PUMPUSDT,2026-07-20 03:33:48.436579+00,FVG - 5m
MINIMAXUSDT,2026-07-20 03:42:43.622909+00,FVG - 1m
KORUUSDT,2026-07-20 04:02:49.072873+00,FVG - 1m
AKEUSDT,2026-07-20 04:13:35.857899+00,FVG - 1m
HOMEUSDT,2026-07-20 04:17:54.505258+00,FVG - 1m
EVAAUSDT,2026-07-20 04:24:19.625644+00,FVG - 1m
GUSDT,2026-07-20 04:24:41.49196+00,Standard Scalping
XANUSDT,2026-07-20 04:25:02.62998+00,Standard Scalping
AERGOUSDT,2026-07-20 04:55:43.812514+00,FVG - 1m
SYNUSDT,2026-07-20 04:55:48.706946+00,MA Slope Caso 1
MUSDT,2026-07-20 05:04:50.271721+00,FVG - 1m
BLESSUSDT,2026-07-20 05:12:22.752604+00,FVG - 1m
ICNTUSDT,2026-07-20 05:12:27.657338+00,FVG - 5m
AAPLUSDT,2026-07-20 05:12:49.054878+00,MA Slope Caso 3
TLMUSDT,2026-07-20 05:20:01.445118+00,FVG - 1m
ACUUSDT,2026-07-20 05:20:07.542176+00,MA Slope Caso 2
DOGEUSDT,2026-07-20 05:20:13.62462+00,MA Slope Caso 3 (15m)
ESPORTSUSDT,2026-07-20 05:27:37.516611+00,FVG - 1m
KAITOUSDT,2026-07-20 05:34:08.442403+00,FVG - 15m
VELVETUSDT,2026-07-20 05:34:18.560663+00,FVG - 1m
ARXUSDT,2026-07-20 06:02:40.090135+00,FVG - 1m
KSTRUSDT,2026-07-20 06:12:13.358633+00,FVG - 1m
LYNUSDT,2026-07-20 06:17:59.49787+00,FVG - 15m
MUBARAKUSDT,2026-07-20 06:18:07.586705+00,FVG - 1m
ARIAUSDT,2026-07-20 06:18:11.646671+00,FVG - 5m
ERAUSDT,2026-07-20 06:23:46.691416+00,FVG - 1m
VELVETUSDT,2026-07-20 06:23:58.277134+00,Standard Scalping
AVAAIUSDT,2026-07-20 06:27:30.704256+00,FVG - 1m
TOWNSUSDT,2026-07-20 06:27:38.805078+00,FVG - 5m
MANTRAUSDT,2026-07-20 06:34:05.290477+00,Standard Scalping
XVGUSDT,2026-07-20 06:41:39.241344+00,FVG - 15m
RKLBUSDT,2026-07-20 06:41:47.354104+00,MA Slope Caso 3 (15m)
LABUSDT,2026-07-20 06:49:27.05807+00,FVG - 15m
HYPERUSDT,2026-07-20 06:56:31.717783+00,FVG - 15m
币安人生USDT,2026-07-20 07:03:59.62605+00,FVG - 15m
ASTSUSDT,2026-07-20 07:04:09.732835+00,MA Slope Caso 3 (15m)
SNXUSDT,2026-07-20 07:11:30.275505+00,FVG - 15m
DEXEUSDT,2026-07-20 07:11:38.388783+00,FVG - 5m
JELLYJELLYUSDT,2026-07-20 07:14:31.226002+00,FVG - 15m
PARTIUSDT,2026-07-20 07:19:29.361197+00,FVG - 5m
EGLDUSDT,2026-07-20 07:25:27.563487+00,Compresion ADN - Micro (5m)
WOOUSDT,2026-07-20 07:53:16.724962+00,FVG - 5m
1000BONKUSDT,2026-07-20 07:53:22.141713+00,MA Cross Momentum
APPSTOCKUSDT,2026-07-20 08:21:50.13839+00,MA Slope Caso 3 (15m)
PIXELUSDT,2026-07-20 08:23:21.246883+00,Standard Scalping
ZAMAUSDT,2026-07-20 08:36:29.481796+00,FVG - 1m
BUSDT,2026-07-20 08:45:29.926498+00,FVG - 1m
BILLUSDT,2026-07-20 08:45:33.983324+00,FVG - 5m
1000XECUSDT,2026-07-20 08:52:54.997777+00,FVG - 15m
NOWUSDT,2026-07-20 08:53:05.68136+00,MA Slope Caso 1
ZEREBROUSDT,2026-07-20 08:59:57.92987+00,FVG - 5m
TRUTHUSDT,2026-07-20 09:19:15.816504+00,LSE Counter-Trend 
XAGUSDT,2026-07-20 09:26:00.632536+00,MA Slope Caso 3
GUAUSDT,2026-07-20 09:30:47.021968+00,FVG - 15m
TURTLEUSDT,2026-07-20 09:34:46.110697+00,MA Slope Caso 3 (15m)
LUMIAUSDT,2026-07-20 09:44:02.398193+00,LSE Counter-Trend 
HUMAUSDT,2026-07-20 09:50:43.439515+00,FVG - 1m
HEMIUSDT,2026-07-20 10:01:38.295249+00,FVG - 15m
RONINUSDT,2026-07-20 10:01:45.775746+00,FVG - 5m
ZILUSDT,2026-07-20 10:11:31.900206+00,FVG - 15m
4USDT,2026-07-20 10:29:19.717062+00,FVG - 15m
SPACEUSDT,2026-07-20 10:29:30.53489+00,FVG - 5m
ZORAUSDT,2026-07-20 10:52:50.184624+00,LSE Counter-Trend 
PTBUSDT,2026-07-20 11:10:20.492611+00,FVG - 1m
TREEUSDT,2026-07-20 11:18:20.636562+00,Compresion ADN - Micro (5m)
GOATUSDT,2026-07-20 11:24:44.455617+00,FVG - 15m
RONINUSDT,2026-07-20 11:24:59.600902+00,Standard Scalping
BANKUSDT,2026-07-20 11:33:49.995996+00,FVG - 1m
ATOMUSDT,2026-07-20 11:33:56.084906+00,MA Slope Caso 1
ALGOUSDT,2026-07-20 11:34:02.140672+00,MA Slope Caso 3 (15m)
AWEUSDT,2026-07-20 11:42:17.887747+00,FVG - 1m
USELESSUSDT,2026-07-20 12:04:57.186348+00,FVG - 1m
MVLLUSDT,2026-07-20 12:05:01.947858+00,MA Clone
CAPUSDT,2026-07-20 12:27:56.377921+00,FVG - 1m
AIOUSDT,2026-07-20 12:40:32.179116+00,FVG - 1m
CHZUSDT,2026-07-20 12:48:57.914433+00,FVG - 1m
KITEUSDT,2026-07-20 12:57:20.216139+00,FVG - 1m
NBISUSDT,2026-07-20 13:04:48.639248+00,Standard Scalping
MVLLUSDT,2026-07-20 13:04:59.654361+00,Standard Scalping
ACTUSDT,2026-07-20 13:09:26.997242+00,FVG - 1m
MYXUSDT,2026-07-20 13:13:48.049242+00,FVG - 1m
AAOIUSDT,2026-07-20 13:17:44.780018+00,FVG - 1m
TURTLEUSDT,2026-07-20 13:20:00.266209+00,Standard Scalping
ACEUSDT,2026-07-20 13:25:55.885436+00,FVG - 15m
HANAUSDT,2026-07-20 13:26:03.992532+00,FVG - 1m
AGTUSDT,2026-07-20 13:30:21.94124+00,FVG - 1m
IRENUSDT,2026-07-20 13:31:23.718478+00,Standard Scalping
INTWUSDT,2026-07-20 13:31:31.991124+00,Standard Scalping
DEEPUSDT,2026-07-20 13:43:43.815637+00,Compresion ADN - Micro (5m)
TRIAUSDT,2026-07-20 13:43:47.499005+00,FVG - 1m
SNXXUSDT,2026-07-20 13:43:51.138811+00,MA Cross Momentum
SNXXUSDT,2026-07-20 13:43:55.300543+00,Scalping Clone
SNXXUSDT,2026-07-20 13:43:59.196738+00,Standard Scalping
JCTUSDT,2026-07-20 13:51:08.606156+00,FVG - 1m
AXTIUSDT,2026-07-20 13:51:14.677837+00,Scalping Clone
AXTIUSDT,2026-07-20 13:51:18.808391+00,Standard Scalping
TERUSDT,2026-07-20 14:00:35.567508+00,FVG - 1m
CIENUSDT,2026-07-20 14:09:03.578251+00,FVG - 1m
XAUUSDT,2026-07-20 14:09:08.042463+00,MA Slope Caso 3
ALCHUSDT,2026-07-20 14:24:46.014481+00,Compresion ADN - Micro (5m)
INTCUSDT,2026-07-20 14:24:50.170176+00,FVG - 1m
UBUSDT,2026-07-20 14:34:05.126044+00,FVG - 1m
CETUSUSDT,2026-07-20 14:43:20.944677+00,Compresion ADN - Micro (5m)
CBRSUSDT,2026-07-20 14:58:14.479978+00,FVG - 1m
ARCUSDT,2026-07-20 15:05:20.292599+00,FVG - 1m
BOTUSDT,2026-07-20 15:10:49.593593+00,FVG - 1m
FORMUSDT,2026-07-20 15:14:53.968591+00,FVG - 1m
BEUSDT,2026-07-20 15:19:59.302797+00,FVG - 1m
XAUTUSDT,2026-07-20 15:20:03.886102+00,MA Slope Caso 3
ETCUSDT,2026-07-20 15:45:33.925013+00,MA Slope Caso 1
SOONUSDT,2026-07-20 15:54:09.637244+00,MA Slope Caso 3 (15m)
NBISUSDT,2026-07-20 16:09:10.466465+00,Standard Scalping
CRWVUSDT,2026-07-20 16:09:14.956746+00,Standard Scalping
USARUSDT,2026-07-20 16:14:05.286715+00,FVG - 5m
TRXUSDT,2026-07-20 16:14:12.652958+00,MA Slope Caso 2
BUSDT,2026-07-20 16:14:24.710619+00,Standard Scalping
BLUAIUSDT,2026-07-20 16:30:12.436756+00,FVG - 15m
STXXUSDT,2026-07-20 16:42:55.653768+00,Standard Scalping
SNXXUSDT,2026-07-20 16:43:03.526005+00,Standard Scalping
CLOUSDT,2026-07-20 17:16:39.785289+00,FVG - 15m
ZHIPUUSDT,2026-07-20 17:22:06.240905+00,FVG - 15m
ZHIPUUSDT,2026-07-20 17:22:17.287117+00,FVG - 5m
TIAUSDT,2026-07-20 17:22:21.964393+00,MA Slope Caso 3 (15m)
YGGUSDT,2026-07-20 17:33:28.314408+00,FVG - 15m
ANTHROPICUSDT,2026-07-20 17:33:34.733787+00,FVG - 5m
VICUSDT,2026-07-20 17:57:29.19229+00,FVG - 5m
METUSDT,2026-07-20 18:19:36.147764+00,MA Slope Caso 3 (15m)
GMTUSDT,2026-07-20 18:25:18.551524+00,LSE Counter-Trend 
HUSDT,2026-07-20 19:10:07.295956+00,FVG - 5m
SAGAUSDT,2026-07-20 19:31:30.562749+00,FVG - 5m
DOODUSDT,2026-07-20 19:45:04.833519+00,Scalping Clone
SXTUSDT,2026-07-20 19:52:42.063617+00,FVG - 15m
MUUUSDT,2026-07-20 20:01:36.312928+00,FVG - 1m
CLUSDT,2026-07-20 20:01:44.388091+00,MA Slope Caso 2
ENSOUSDT,2026-07-20 20:01:48.510116+00,MA Slope Caso 3 (15m)
ALLOUSDT,2026-07-20 20:09:19.412306+00,FVG - 1m
SAPIENUSDT,2026-07-20 20:13:46.17692+00,FVG - 1m
PROMUSDT,2026-07-20 20:19:18.687014+00,FVG - 1m
SKRUSDT,2026-07-20 20:26:00.086535+00,FVG - 1m
GWEIUSDT,2026-07-20 20:59:56.069344+00,FVG - 15m
TACUSDT,2026-07-20 21:00:05.266855+00,FVG - 1m
CAPUSDT,2026-07-20 21:13:40.396279+00,Scalping Clone
BNCUSDT,2026-07-20 21:25:04.211796+00,LSE Counter-Trend 
MONUSDT,2026-07-20 21:29:51.172737+00,FVG - 1m
XPLUSDT,2026-07-20 21:29:58.797925+00,LSE Counter-Trend 
KNCUSDT,2026-07-20 21:49:33.95157+00,FVG - 5m
NIGHTUSDT,2026-07-20 21:58:14.881367+00,FVG - 1m
TUTUSDT,2026-07-20 21:58:18.882558+00,FVG - 5m
TOWNSUSDT,2026-07-20 21:58:42.004146+00,Standard Scalping
ZESTUSDT,2026-07-20 22:05:32.506672+00,FVG - 1m
PIEVERSEUSDT,2026-07-20 22:05:36.308028+00,MA Slope Caso 3 (15m)
ZMUSDT,2026-07-20 22:15:14.678794+00,Compresion ADN - Micro (5m)
YBUSDT,2026-07-20 22:27:23.999189+00,FVG - 5m
HEIUSDT,2026-07-20 22:36:08.259169+00,FVG - 1m
MONUSDT,2026-07-20 22:37:42.450875+00,Standard Scalping
BSBUSDT,2026-07-20 22:58:35.381845+00,FVG - 1m
HAEDALUSDT,2026-07-20 23:04:49.77539+00,FVG - 5m
XPINUSDT,2026-07-20 23:35:31.889862+00,FVG - 1m
CRCLUSDT,2026-07-20 23:48:53.348086+00,FVG - 5m
OUSDT,2026-07-20 23:57:21.591835+00,FVG - 1m
TUSDT,2026-07-21 00:09:37.466517+00,FVG - 15m
EPICUSDT,2026-07-21 00:09:45.310074+00,FVG - 1m
PENGUUSDT,2026-07-21 00:19:43.84879+00,MA Slope Caso 3 (15m)
MYXUSDT,2026-07-21 00:20:02.605925+00,Standard Scalping
COAIUSDT,2026-07-21 00:25:23.325441+00,FVG - 1m
SOXLUSDT,2026-07-21 00:25:30.182907+00,FVG - 5m
VANRYUSDT,2026-07-21 00:34:39.081833+00,FVG - 15m
PTBUSDT,2026-07-21 00:49:12.103678+00,Standard Scalping
ERAUSDT,2026-07-21 00:49:22.183899+00,Standard Scalping
MINAUSDT,2026-07-21 01:03:20.884488+00,Scalping Clone
HYUNDAIUSDT,2026-07-21 01:12:51.305094+00,FVG - 1m
ALICEUSDT,2026-07-21 01:25:10.739789+00,FVG - 5m
JTOUSDT,2026-07-21 01:34:22.147341+00,FVG - 15m
RIFUSDT,2026-07-21 01:34:34.556975+00,FVG - 5m
SKLUSDT,2026-07-21 01:42:15.231668+00,FVG - 15m
IRYSUSDT,2026-07-21 01:56:19.59253+00,FVG - 1m
JSTUSDT,2026-07-21 01:56:26.968123+00,MA Slope Caso 3 (15m)
KOMAUSDT,2026-07-21 02:02:39.549572+00,FVG - 5m
SKHYNIXUSDT,2026-07-21 02:08:56.940011+00,FVG - 1m
SUSDT,2026-07-21 02:25:28.999557+00,FVG - 5m
COLLECTUSDT,2026-07-21 02:29:28.024193+00,FVG - 1m
STARUSDT,2026-07-21 02:34:11.719034+00,FVG - 5m
HAEDALUSDT,2026-07-21 02:48:15.842481+00,Standard Scalping
SKRUSDT,2026-07-21 02:56:28.872055+00,Standard Scalping
GUSDT,2026-07-21 03:04:43.124135+00,FVG - 15m
LABUSDT,2026-07-21 03:04:51.225946+00,FVG - 1m
ZHIPUUSDT,2026-07-21 03:05:07.192407+00,Standard Scalping
SIRENUSDT,2026-07-21 03:12:16.158603+00,FVG - 1m
ALICEUSDT,2026-07-21 03:12:22.215949+00,FVG - 5m
XANUSDT,2026-07-21 03:12:26.58978+00,MA Clone
XANUSDT,2026-07-21 03:12:30.883789+00,Scalping Clone
XANUSDT,2026-07-21 03:12:34.697842+00,Standard Scalping
SNXXUSDT,2026-07-21 03:33:29.138729+00,Standard Scalping
TOWNSUSDT,2026-07-21 03:42:04.463513+00,FVG - 1m
ESPORTSUSDT,2026-07-21 03:51:09.105962+00,FVG - 15m
VETUSDT,2026-07-21 04:03:02.372043+00,Compresion ADN - Micro (5m)
AKEUSDT,2026-07-21 04:03:08.793067+00,FVG - 1m
JCTUSDT,2026-07-21 04:03:18.521628+00,MA Slope Caso 1
INTWUSDT,2026-07-21 04:03:39.476584+00,Standard Scalping
TREEUSDT,2026-07-21 04:03:56.680854+00,Scalping Clone
AVAAIUSDT,2026-07-21 04:14:51.508463+00,FVG - 5m
AIGENSYNUSDT,2026-07-21 04:15:10.095638+00,Standard Scalping
HEMIUSDT,2026-07-21 04:29:09.901128+00,FVG - 5m
MINAUSDT,2026-07-21 04:43:35.544301+00,Standard Scalping
BMNRUSDT,2026-07-21 05:00:31.569662+00,MA Slope Caso 3 (15m)
BANKUSDT,2026-07-21 05:09:50.78854+00,FVG - 1m
DEXEUSDT,2026-07-21 05:14:00.464823+00,FVG - 1m
PTBUSDT,2026-07-21 05:18:59.008739+00,FVG - 1m
BLESSUSDT,2026-07-21 05:26:15.351851+00,FVG - 1m
LTCUSDT,2026-07-21 05:26:19.556026+00,MA Slope Caso 3
CLOUSDT,2026-07-21 05:36:31.460268+00,FVG - 1m
POLYXUSDT,2026-07-21 05:36:45.461246+00,Scalping Clone
SAGAUSDT,2026-07-21 05:45:23.963586+00,MA Cross Momentum
UBUSDT,2026-07-21 05:54:18.244524+00,Standard Scalping
VVVUSDT,2026-07-21 06:27:24.970847+00,MA Cross Momentum
AGTUSDT,2026-07-21 06:49:53.275584+00,FVG - 15m
USUSDT,2026-07-21 06:50:03.425753+00,MA Cross Momentum
IBMUSDT,2026-07-21 06:50:07.760508+00,MA Slope Caso 3
USUSDT,2026-07-21 06:50:11.645939+00,Scalping Clone
USUSDT,2026-07-21 06:50:14.912443+00,Standard Scalping
ZEREBROUSDT,2026-07-21 06:59:15.368404+00,FVG - 15m
BILLUSDT,2026-07-21 06:59:28.757323+00,MA Slope Caso 1
MSFTUSDT,2026-07-21 07:09:05.277066+00,MA Slope Caso 3
HAEDALUSDT,2026-07-21 07:24:17.44694+00,FVG - 5m
SAGAUSDT,2026-07-21 07:34:30.451713+00,Scalping Clone
HANAUSDT,2026-07-21 07:51:18.704894+00,FVG - 1m
LAUSDT,2026-07-21 08:07:46.683507+00,FVG - 1m
LAUSDT,2026-07-21 08:07:50.563743+00,FVG - 5m
YGGUSDT,2026-07-21 08:12:49.806495+00,FVG - 15m
VVVUSDT,2026-07-21 08:13:05.629561+00,Standard Scalping
BUSDT,2026-07-21 08:17:17.113122+00,FVG - 15m
AZTECUSDT,2026-07-21 08:23:13.239975+00,MA Slope Caso 3 (15m)
IOUSDT,2026-07-21 08:28:22.068732+00,Scalping Clone
ONDOUSDT,2026-07-21 08:49:51.200547+00,FVG - 1m
TURTLEUSDT,2026-07-21 08:49:55.486353+00,FVG - 5m
STARUSDT,2026-07-21 08:58:17.253882+00,FVG - 1m
IRYSUSDT,2026-07-21 09:14:54.173166+00,FVG - 1m
CAPUSDT,2026-07-21 09:29:35.289884+00,FVG - 5m
ONDOUSDT,2026-07-21 09:44:29.879261+00,Standard Scalping
HEIUSDT,2026-07-21 09:53:19.748193+00,FVG - 5m
ERAUSDT,2026-07-21 10:00:14.15137+00,FVG - 5m
ICPUSDT,2026-07-21 10:00:17.935702+00,MA Slope Caso 3 (15m)
ACEUSDT,2026-07-21 10:09:24.825099+00,FVG - 5m
WLDUSDT,2026-07-21 10:09:29.412983+00,MA Slope Caso 3
VIRTUALUSDT,2026-07-21 10:29:45.304892+00,Standard Scalping
1000XECUSDT,2026-07-21 10:58:49.763476+00,FVG - 5m
YBUSDT,2026-07-21 11:10:33.647328+00,FVG - 15m
TZAUSDT,2026-07-21 11:14:22.205331+00,MA Slope Caso 2
SOXSUSDT,2026-07-21 11:34:18.231749+00,FVG - 5m
NIGHTUSDT,2026-07-21 11:44:30.306222+00,FVG - 5m
METUSDT,2026-07-21 11:50:59.702242+00,FVG - 15m
BEATUSDT,2026-07-21 11:51:06.717969+00,FVG - 5m
DEEPUSDT,2026-07-21 11:51:11.500337+00,MA Slope Caso 3 (15m)
MUSDT,2026-07-21 12:11:57.686122+00,FVG - 15m
DUSKUSDT,2026-07-21 12:33:27.756944+00,Scalping Clone
RPLUSDT,2026-07-21 12:48:48.759278+00,MA Slope Caso 2
CROSSUSDT,2026-07-21 13:04:22.033004+00,Standard Scalping
KGENUSDT,2026-07-21 13:09:55.748096+00,Compresion ADN - Micro (5m)
CUSDT,2026-07-21 13:13:52.013017+00,FVG - 15m
BSVUSDT,2026-07-21 13:25:27.088703+00,Compresion ADN - Micro (5m)
MMTUSDT,2026-07-21 13:25:42.373141+00,Standard Scalping
MITOUSDT,2026-07-21 13:34:34.881404+00,MA Slope Caso 3 (15m)
AXTIUSDT,2026-07-21 13:43:18.150959+00,MA Clone
AXTIUSDT,2026-07-21 13:43:21.227302+00,MA Cross Momentum
ZBTUSDT,2026-07-21 13:50:45.621534+00,FVG - 1m
CRCLUSDT,2026-07-21 14:06:27.924742+00,FVG - 1m
RAVEUSDT,2026-07-21 14:11:46.400516+00,FVG - 15m
NEOUSDT,2026-07-21 14:11:54.027362+00,LSE Counter-Trend 
1000LUNCUSDT,2026-07-21 14:11:58.880269+00,MA Slope Caso 3 (15m)
ORCAUSDT,2026-07-21 14:16:08.477128+00,LSE Counter-Trend 
QNTXUSDT,2026-07-21 14:27:55.342368+00,FVG - 15m
MAGMAUSDT,2026-07-21 14:28:05.288395+00,LSE Counter-Trend 
VELVETUSDT,2026-07-21 14:32:31.307686+00,FVG - 15m
RENDERUSDT,2026-07-21 14:42:04.047245+00,MA Slope Caso 3 (15m)
DODOXUSDT,2026-07-21 14:49:19.435785+00,FVG - 15m
TUTUSDT,2026-07-21 14:57:53.710381+00,FVG - 15m
HUSDT,2026-07-21 15:04:46.826026+00,FVG - 15m
ONEUSDT,2026-07-21 15:04:57.030675+00,FVG - 1m
AERGOUSDT,2026-07-21 15:11:15.339677+00,FVG - 1m
XVGUSDT,2026-07-21 15:20:10.875975+00,FVG - 15m
GRAMUSDT,2026-07-21 15:30:30.691851+00,FVG - 1m
ONDSUSDT,2026-07-21 15:45:25.97472+00,FVG - 1m
FWDIUSDT,2026-07-21 15:54:21.330479+00,Standard Scalping
ASTSUSDT,2026-07-21 16:09:13.127641+00,FVG - 1m
ETHBTCUSDT,2026-07-21 16:09:18.196363+00,MA Slope Caso 2
WDCUSDT,2026-07-21 16:19:40.507514+00,Standard Scalping
SHAZUSDT,2026-07-21 16:24:32.356996+00,FVG - 1m
BEUSDT,2026-07-21 16:34:30.290388+00,FVG - 1m
LYNUSDT,2026-07-21 16:34:38.388755+00,Standard Scalping
TERUSDT,2026-07-21 16:42:49.646165+00,Standard Scalping
KERNELUSDT,2026-07-21 16:49:13.08563+00,FVG - 15m
BLUAIUSDT,2026-07-21 16:49:21.004245+00,MA Clone
BLUAIUSDT,2026-07-21 16:49:24.855888+00,MA Cross Momentum
BLUAIUSDT,2026-07-21 16:49:28.805776+00,Scalping Clone
COLLECTUSDT,2026-07-21 17:04:13.672437+00,FVG - 1m
MUUUSDT,2026-07-21 17:14:35.554807+00,FVG - 1m
EPICUSDT,2026-07-21 17:14:39.900712+00,FVG - 5m
ARIAUSDT,2026-07-21 17:50:15.987575+00,FVG - 15m
TACUSDT,2026-07-21 17:50:24.438796+00,FVG - 1m
BTWUSDT,2026-07-21 18:06:15.201737+00,FVG - 1m
MINIMAXUSDT,2026-07-21 18:11:49.122423+00,FVG - 1m
HMSTRUSDT,2026-07-21 18:21:12.829479+00,FVG - 1m
CBRSUSDT,2026-07-21 18:27:30.440134+00,FVG - 1m
CHILLGUYUSDT,2026-07-21 18:27:34.284416+00,MA Clone
CHILLGUYUSDT,2026-07-21 18:27:38.329695+00,MA Cross Momentum
MOVEUSDT,2026-07-21 18:56:27.202204+00,FVG - 1m
LABUSDT,2026-07-21 19:03:34.1016+00,Standard Scalping
TLMUSDT,2026-07-21 19:11:13.860932+00,FVG - 1m
NEARUSDT,2026-07-21 19:11:18.12139+00,MA Slope Caso 2
EIGENUSDT,2026-07-21 19:15:45.870436+00,MA Slope Caso 2
EDGEUSDT,2026-07-21 19:31:45.918896+00,FVG - 1m
MUUUSDT,2026-07-21 19:32:36.491896+00,Standard Scalping
MUUSDT,2026-07-21 19:47:22.196136+00,Standard Scalping
MYXUSDT,2026-07-21 19:55:26.390724+00,FVG - 1m
OPNUSDT,2026-07-21 20:03:08.148804+00,FVG - 1m
PLAYUSDT,2026-07-21 20:10:53.970308+00,FVG - 1m
BOTUSDT,2026-07-21 20:10:57.769963+00,FVG - 5m
TRIAUSDT,2026-07-21 20:15:41.64157+00,MA Cross Momentum
SMCIUSDT,2026-07-21 20:37:04.971105+00,FVG - 1m
HPEUSDT,2026-07-21 20:45:42.395216+00,FVG - 1m
ZESTUSDT,2026-07-21 20:45:46.270972+00,FVG - 5m
AIGENSYNUSDT,2026-07-21 20:54:30.785146+00,Standard Scalping
CRWVUSDT,2026-07-21 21:09:05.615844+00,Standard Scalping
GWEIUSDT,2026-07-21 21:59:17.608679+00,FVG - 15m
RKLBUSDT,2026-07-21 21:59:27.006327+00,FVG - 1m
INITUSDT,2026-07-21 22:08:08.683532+00,Compresion ADN - Micro (5m)
NBISUSDT,2026-07-21 22:08:19.472894+00,FVG - 1m
SYNUSDT,2026-07-21 22:34:31.343697+00,FVG - 1m
BIOUSDT,2026-07-21 22:42:56.676499+00,FVG - 1m
RECALLUSDT,2026-07-21 22:49:54.778545+00,MA Slope Caso 1
XPINUSDT,2026-07-21 22:58:26.422302+00,FVG - 1m
AVAXUSDT,2026-07-21 23:20:29.994182+00,MA Slope Caso 2
ATHUSDT,2026-07-21 23:31:48.714863+00,Compresion ADN - Micro (5m)
ICNTUSDT,2026-07-21 23:36:16.229777+00,FVG - 1m
TAGUSDT,2026-07-21 23:44:42.256244+00,Arrow Reversal
TAGUSDT,2026-07-21 23:44:48.107395+00,
TRIAUSDT,2026-07-22 00:01:21.882629+00,Standard Scalping
DELLUSDT,2026-07-22 00:01:31.336387+00,Standard Scalping
BNCUSDT,2026-07-22 00:10:00.61409+00,FVG - 1m
AIOUSDT,2026-07-22 00:14:27.787545+00,FVG - 5m
AAOIUSDT,2026-07-22 00:26:08.119328+00,FVG - 1m
MIRAUSDT,2026-07-22 00:31:41.508456+00,FVG - 1m
MVLLUSDT,2026-07-22 00:49:23.699762+00,Scalping Clone
GENIUSUSDT,2026-07-22 01:06:29.104005+00,FVG - 1m
REUSDT,2026-07-22 01:13:10.701988+00,FVG - 1m
AIOTUSDT,2026-07-22 01:18:21.548612+00,FVG - 1m
CCUSDT,2026-07-22 01:18:30.328039+00,LSE Counter-Trend 
ARXUSDT,2026-07-22 01:25:01.704796+00,FVG - 1m
ZORAUSDT,2026-07-22 01:29:54.640736+00,LSE Counter-Trend 
VVVUSDT,2026-07-22 01:44:59.708137+00,Scalping Clone
HOLOUSDT,2026-07-22 01:53:35.833152+00,FVG - 1m
SAFEUSDT,2026-07-22 01:53:41.510538+00,LSE Counter-Trend 
MRVLUSDT,2026-07-22 02:01:42.173059+00,Scalping Clone
ANTHROPICUSDT,2026-07-22 02:49:34.23331+00,FVG - 1m
TRUTHUSDT,2026-07-22 02:49:38.375332+00,FVG - 5m
ASTSUSDT,2026-07-22 02:49:46.814815+00,Scalping Clone
NBISUSDT,2026-07-22 02:49:56.069632+00,Scalping Clone
ACEUSDT,2026-07-22 03:07:03.67071+00,FVG - 1m
TLMUSDT,2026-07-22 03:07:08.817159+00,FVG - 5m
BANKUSDT,2026-07-22 03:13:04.769913+00,FVG - 1m
ZHIPUUSDT,2026-07-22 03:17:25.102294+00,FVG - 1m
HOLOUSDT,2026-07-22 03:18:22.963034+00,Scalping Clone
ICNTUSDT,2026-07-22 03:32:50.76721+00,FVG - 1m
IBMUSDT,2026-07-22 03:41:20.265637+00,Compresion ADN - Micro (5m)
SNXXUSDT,2026-07-22 03:41:27.0644+00,FVG - 15m Pulido
XANUSDT,2026-07-22 03:41:33.961545+00,FVG - 1m
STARUSDT,2026-07-22 03:51:15.88669+00,FVG - 15m Pulido
REUSDT,2026-07-22 03:51:19.958704+00,FVG - 1m
