symbol,side,opened,entry,sl0,tp0,exitReason,exitBar,finalLevel,pnl
SYNUSDT,0,2026-06-24T03:44:26.0000000Z,0.3076,0.28503446,0.38657938,sl,2,1,-0.12
AIOUSDT,0,2026-06-24T03:59:32.0000000Z,0.12913,0.12541493,0.14213275,sl,0,0,-4.4354998838379927205142104855
AIOUSDT,0,2026-06-24T04:09:26.0000000Z,0.12964,0.12324616,0.144186,sl,0,0,-7.5179944461585930268435668003
BILLUSDT,0,2026-06-24T10:49:14.0000000Z,0.05129,0.05011443,0.05396441,sl,6,3,1.3800000000000000000000000000
GUSDT,0,2026-06-24T10:49:19.0000000Z,0.003248,0.00290228,0.00403451,sl,8,0,-16.086133004926108374384236453
NAORISUSDT,0,2026-06-24T13:48:03.0000000Z,0.03407,0.03259818,0.03713139,tp,0,0,13.358382741414734370413853830
NAORISUSDT,0,2026-06-24T13:48:07.0000000Z,0.03412,0.03326018,0.03687144,tp,0,0,11.976014067995310668229777257
NAORISUSDT,0,2026-06-24T13:48:16.0000000Z,0.03398,0.0331237,0.03672015,tp,0,0,11.976012360211889346674514420
USELESSUSDT,0,2026-06-24T13:53:03.0000000Z,0.0717,0.06780239,0.08056707,sl,2,3,1.3800000000000000000000000000
BSBUSDT,0,2026-06-24T17:34:09.0000000Z,0.30858,0.29013926,0.35053269,sl,77,3,1.3800000000000000000000000000
BSBUSDT,0,2026-06-24T18:31:31.0000000Z,0.30753,0.2968095,0.34505174,sl,6,1,-0.12
SLXUSDT,1,2026-06-24T18:41:26.0000000Z,0.28049,0.2943406,0.23616809,sl,9,3,1.3800000000000000000000000000
KAIAUSDT,0,2026-06-25T00:16:27.0000000Z,0.03471,0.03438928,0.03583252,sl,0,0,-1.5059982713915298184961106310
KAIAUSDT,0,2026-06-25T03:11:27.0000000Z,0.03472,0.03407837,0.0361797,sl,29,0,-2.8920190092165898617511520738
ESPORTSUSDT,0,2026-06-25T04:11:31.0000000Z,0.03421,0.03280431,0.0387082,sl,0,0,-6.2835048231511254019292604501
